Location,SFR,OPEN,MFR,IND,COM,sum,age,lights,ndvimean,elev,imper,PercentINDCOM,PercentAnyRes,RoadDens
KICCOMS8D_OUT,0.185374837,0.047712109,0.127296416,0.251457535,0.388159104,0.467247029,0.2,0.0540825,0.406,0.112,0.643,0.312671253,0.312671253,0.671
KICHDRS8D_OUT,0.995025237,0.004974763,0,0,0,0.771416632,0.2,0.0540825,0.523,0.14,0.35666,0.995025237,0.995025237,0.198
KICLDRS8D_OUT,0.895613598,0,0.104386402,0,0,0.852470913,0.2,0.2168275,0.563,0.492,0.25208,1,1,0.122
PIECOMM_OUT,0.005920555,0.223966213,0.012150426,0.00297191,0.754990895,0.563094809,0.8,0.2075475,0.37,0.524,0.5723,0.018070982,0.018070982,0.67
PIEHIRES_OUT,0.876723372,0.038260057,0.008688931,0.017791864,0.058535776,0.760374446,0.8,0.2334725,0.442,0.492,0.18183,0.885412303,0.885412303,0.125
PIELORES_OUT,0.994674198,0,0,0.005325802,0,0.513024658,0.2,0.065495,0.693,0.136,0.17199,0.994674198,0.994674198,0.051
POSOUTFALL_6040,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6041,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6048,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6051,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6052,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6056,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6057,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6061,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POSOUTFALL_6065,0,0,0,0,1,1,1,0.2606175,0.119,0.008,0.81148,0,0,
POT564S8D_OUT,0,0,0,0,1,1,1,0.6979925,0.012,0.004,0.56404,0,0,
SEAC1S8D_OUT,0.17534408,0.060569195,0.258303662,0,0.505783063,0.597649463,1,0.5593925,0.229,0.076,0.67634,0.433647742,0.433647742,0.375
SEAI1S8D_OUT,0.373829163,0.098124798,0.004599333,0.064395822,0.459050885,0.729614762,1,0.42446,0.218,0.016,0.82196,0.378428496,0.378428496,0.26
SEAR1S8D_OUT,0.872312603,0,0.08311459,0,0.044572807,0.695746917,1,0.34526,0.475,0.472,0.38883,0.955427193,0.955427193,0.207
SNO_COM,0.157717345,0,0.559730414,0.00092525,0.281626991,0.879083048,0.8,0.2433125,0.159,0.584,0.88243,0.717447758,0.717447758,0.358
SNO_HDR,1,0,0,0,0,0.73827361,0.8,0.1862325,0.454,0.476,0.40795,1,1,0.201
SNO_LDR,0.769360138,0,0,0,0.230639862,0.929119667,0.2,0.073495,0.555,0.228,0.17341,0.769360138,0.769360138,0.165
TAC003S8D_OF245,0.85,0,0,0,0.15,1,1,0.64454,0.092,0.012,0.9,0.85,0.85,
TFWFD1,0.763358779,0.047709924,0,0.007633588,0.18129771,1.048,1,0.64454,0.047,0,0.42,0.763358779,0.763358779,
TFWFD6,0.03,0,0,0,0.97,1,1,0.64454,0.087,0.02,0.65,0.03,0.03,
